team,team_code,p_r32,p_r16,p_qf,p_semi,p_final,p_champion
Germany,GER,1.0,0.5665,0.3385,0.2136,0.1308,0.079
France,FRA,1.0,0.5513,0.3259,0.201,0.1144,0.07
Belgium,BEL,1.0,0.5651,0.3347,0.1972,0.1172,0.0624
Norway,NOR,1.0,0.5144,0.302,0.1828,0.1013,0.0596
Brazil,BRA,1.0,0.4949,0.289,0.1701,0.0978,0.0573
England,ENG,1.0,0.5282,0.3174,0.1818,0.1021,0.0565
Portugal,POR,1.0,0.532,0.3241,0.1855,0.1032,0.0551
Argentina,ARG,1.0,0.4722,0.286,0.1646,0.0939,0.0488
Netherlands,NED,1.0,0.4939,0.2852,0.1591,0.0838,0.0451
United States,USA,1.0,0.4696,0.262,0.1438,0.076,0.0372
Spain,ESP,1.0,0.428,0.2331,0.1252,0.0658,0.0329
Sweden,SWE,1.0,0.4399,0.232,0.1215,0.0563,0.0286
Austria,AUT,1.0,0.3767,0.2077,0.1103,0.0565,0.0269
Colombia,COL,1.0,0.4103,0.2106,0.1053,0.0533,0.0251
Algeria,ALG,1.0,0.3736,0.203,0.1062,0.0513,0.0234
Bosnia and Herzegovina,BIH,1.0,0.411,0.2078,0.1026,0.0498,0.0226
Uruguay,URU,1.0,0.3913,0.2003,0.0994,0.0483,0.0218
Czech Republic,CZE,1.0,0.4244,0.2106,0.095,0.0475,0.0205
Iran,IRI,1.0,0.3793,0.1827,0.0888,0.045,0.0191
Switzerland,SUI,1.0,0.3884,0.1918,0.0887,0.0408,0.0185
Croatia,CRO,1.0,0.3577,0.171,0.0778,0.0356,0.0159
Senegal,SEN,1.0,0.3115,0.1505,0.0717,0.0349,0.0153
Scotland,SCO,1.0,0.3172,0.1554,0.0715,0.0316,0.0152
Canada,CAN,1.0,0.3537,0.1734,0.0767,0.0354,0.015
Turkey,TUR,1.0,0.3608,0.1674,0.0757,0.0325,0.0144
Jordan,JOR,1.0,0.2534,0.1166,0.0501,0.0208,0.0101
Morocco,MAR,1.0,0.2811,0.1275,0.0545,0.0237,0.0099
Ivory Coast,CIV,1.0,0.2813,0.1202,0.051,0.0232,0.0091
Qatar,QAT,1.0,0.2819,0.1264,0.0523,0.0202,0.0072
Paraguay,PAR,1.0,0.2702,0.1162,0.0512,0.0203,0.0071
Curaçao,CUW,1.0,0.2377,0.0932,0.039,0.0154,0.0067
Mexico,MEX,1.0,0.2642,0.1097,0.0387,0.014,0.0064
South Korea,KOR,1.0,0.2825,0.1116,0.0434,0.0147,0.0059
Uzbekistan,UZB,1.0,0.2377,0.0994,0.0426,0.0161,0.0058
Ecuador,ECU,1.0,0.2235,0.0891,0.0321,0.0126,0.0055
South Africa,RSA,1.0,0.2462,0.0959,0.0369,0.0143,0.0051
DR Congo,COD,1.0,0.1861,0.074,0.0306,0.0121,0.0039
Panama,PAN,1.0,0.2214,0.0839,0.0281,0.0094,0.0039
Ghana,GHA,1.0,0.1824,0.0693,0.0245,0.0096,0.0037
New Zealand,NZL,1.0,0.2126,0.08,0.0311,0.0115,0.0035
Australia,AUS,1.0,0.2151,0.0815,0.0295,0.0085,0.0033
Cape Verde,CPV,1.0,0.1902,0.0747,0.0272,0.0092,0.0029
Japan,JPN,1.0,0.1988,0.0713,0.0238,0.0077,0.0028
Haiti,HAI,1.0,0.1937,0.0745,0.0233,0.0077,0.0028
Iraq,IRQ,1.0,0.1479,0.0549,0.0201,0.0066,0.0023
Egypt,EGY,1.0,0.1731,0.0606,0.0192,0.0064,0.0023
Tunisia,TUN,1.0,0.1674,0.0577,0.0183,0.0055,0.0022
Saudi Arabia,KSA,1.0,0.1397,0.0497,0.0166,0.0054,0.0014
